Loc;Genera_Prefix;Lineage_Name;Lineage;parasiteGenus;order;family;genus;species;Host_Status;Host_Age;Host_Environment;continent;country;region;site;Lat1;Lat2;Lat3;Lon1;Lon2;Lon3;length;IDSeq;IDLoc;Latitude;Longitude
37.3555555555556_-104.355555555556;H_;PIRLUD08;H_PIRLUD08;Haemoproteus;Passeriformes;Fringillidae;Piranga;Piranga_ludoviciana;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1118;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;VIRPLU01;H_VIRPLU01;Haemoproteus;Passeriformes;Vireonidae;Vireo;Vireo_plumbeus;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1500;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;PIRFLA10;H_PIRFLA10;Haemoproteus;Passeriformes;Fringillidae;Piranga;Piranga_flava;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1114;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;VIRPLU08;H_VIRPLU08;Haemoproteus;Passeriformes;Vireonidae;Vireo;Vireo_plumbeus;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1503;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;SEIAUR01;P_SEIAUR01;Plasmodium;Passeriformes;Fringillidae;Pipilo;Pipilo_maculatus;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1218;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;PIRFLA09;H_PIRFLA09;Haemoproteus;Passeriformes;Fringillidae;Piranga;Piranga_flava;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1113;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;VIRPLU04;H_VIRPLU04;Haemoproteus;Passeriformes;Sittidae;Sitta;Sitta_pygmaea;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1501;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;VIRPLU01;H_VIRPLU01;Haemoproteus;Passeriformes;Sittidae;Sitta;Sitta_pygmaea;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1500;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;LAIRI01;P_LAIRI01;Plasmodium;Passeriformes;Paridae;Poecile;Poecile_gambeli;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_765;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;VIRPLU01;H_VIRPLU01;Haemoproteus;Passeriformes;Aegithalidae;Psaltriparus;Psaltriparus_minimus;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1500;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;LAIRI01;P_LAIRI01;Plasmodium;Passeriformes;Corvidae;Aphelocoma;Aphelocoma_woodhouseii;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_765;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;CYASTE05;H_CYASTE05;Haemoproteus;Passeriformes;Corvidae;Cyanocitta;Cyanocitta_stelleri;Resident;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_454;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;SIAMEX01;H_SIAMEX01;Haemoproteus;Passeriformes;Fringillidae;Spizella;Spizella_passerina;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1253;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;PIRLUD07;H_PIRLUD07;Haemoproteus;Piciformes;Picidae;Colaptes;Colaptes_auratus;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1117;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;MOLATE01;P_MOLATE01;Plasmodium;Passeriformes;Fringillidae;Spizella;Spizella_passerina;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_870;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;SPIPAS01;H_SPIPAS01;Haemoproteus;Passeriformes;Fringillidae;Spizella;Spizella_passerina;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1260;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;SIAMEX05;H_SIAMEX05;Haemoproteus;Passeriformes;Turdidae;Sialia;Sialia_mexicana;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1255;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;TROAED24;P_TROAED24;Plasmodium;Passeriformes;Turdidae;Sialia;Sialia_mexicana;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1417;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;PIRLUD02;H_PIRLUD02;Haemoproteus;Passeriformes;Fringillidae;Piranga;Piranga_ludoviciana;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1116;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;CHOGRA01;H_CHOGRA01;Haemoproteus;Passeriformes;Fringillidae;Chondestes;Chondestes_grammacus;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_320;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;TABI10;H_TABI10;Haemoproteus;Passeriformes;Hirundinidae;Tachycineta;Tachycineta_thalassina;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1326;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;P_;LAIRI01;P_LAIRI01;Plasmodium;Passeriformes;Hirundinidae;Tachycineta;Tachycineta_thalassina;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_765;52;37,3555555555556;-104,355555555556
37.3555555555556_-104.355555555556;H_;SPIPAS01;H_SPIPAS01;Haemoproteus;Passeriformes;Fringillidae;Pipilo;Pipilo_maculatus;Migratory;Unknown;Wild;North_America;United_States;New_Mexico;Mt._Taylor;35;19;7340;-107;32;7600;Full;Parasite_1260;52;37,3555555555556;-104,355555555556
